,Date
0,PRWAX
1,G0O1
2,AAL
3,AAPL
4,ABC
5,ACAD
6,AKAM
7,ALGN
8,ALNY
9,AMP
10,AMTD
11,AMZN
12,ANGI
13,APC
14,BA
15,BIDU
16,BIIB
17,BLK
18,BMRN
19,C
20,CCI
21,CE
22,CEB
23,CELG
24,CMCSA
25,CME
26,CMG
27,CNQR
28,CRM
29,CVD
30,CVLT
31,CVS
32,CXO
33,DFS
34,DHR
35,DIS
36,DISCK
37,DLTR
38,EBAY
39,ECL
40,EFX
41,EQIX
42,EQT
43,FB
44,FDX
45,FISV
46,FNF
47,FOXA
48,GILD
49,GNRC
50,GOOGL
51,GWW
52,HAR
53,HD
54,HSIC
55,HTZ
56,HUBB
57,ICE
58,IDXX
59,IHS
60,ILMN
61,IONS
62,JHX
63,KATE
64,KMX
65,KSU
66,LB
67,LBTYA
68,LBTYK
69,LEN
70,LNKD
71,LULU
72,LVS
73,MA
74,MCK
75,MLM
76,MON
77,MSFT
78,MSGN
79,N
80,NOW
81,OAS
82,ORLY
83,PBYI
84,PCAR
85,PCLN
86,PCP
87,PCYC
88,PEP
89,PFPT
90,PG
91,PSX
92,PX
93,PXD
94,PZZA
95,QCOM
96,QUNR
97,REGN
98,RGLS
99,ROP
100,ROST
101,SBUX
102,SC
103,SGEN
104,SHW
105,SSYS
106,STT
107,SWGAY
108,TMH
109,TMO
110,TSCO
111,TWTR
112,TYC
113,UNH
114,USB
115,UTX
116,V
117,VEEV
118,VLO
119,VRSN
120,VRTX
121,WDAY
122,WFM
123,WYNMY
124,XLRN
125,YHOO
126,YNDX
127,YOKU
128,ADSK
129,ALXN
130,AR
131,ARMH
132,ATHN
133,DAL
134,EVR
135,FNFV
136,GOOG
137,GRUB
138,HLT
139,HSP
140,ICPT
141,ISRG
142,LL
143,MMM
144,NFLX
145,NKE
146,P
147,SFM
148,TRIP
149,WPX
150,WYNN
